[[-0.435, 0.6495, 0.3795], [0.003195793308095086, -0.0021305288720633907, -0.017044230976507126], [-0.0001220703125, 0.0050048828125, 1.0123291015625]]
[[-0.435, 0.6495, 0.3795], [0.0021305288720633907, 0.0010652644360316954, -0.012783173232380344], [-0.0025634765625, 0.00634765625, 1.0106201171875]]
[[-0.435, 0.6495, 0.3795], [0.003195793308095086, 0.0021305288720633907, -0.01384843766841204], [-0.00244140625, 0.0040283203125, 1.0103759765625]]
[[-0.435, 0.6495, 0.3795], [0.005326322180158476, 0.0021305288720633907, -0.020240024284602212], [-0.0013427734375, 0.0025634765625, 1.0107421875]]
[[-0.435, 0.6495, 0.3795], [0.004261057744126781, 0.0021305288720633907, -0.020240024284602212], [-0.0008544921875, 0.0009765625, 1.0101318359375]]
[[-0.435, 0.6495, 0.3795], [0.003195793308095086, 0.003195793308095086, -0.012783173232380344], [-0.0052490234375, 0.0030517578125, 1.0057373046875]]
[[-0.435, 0.6495, 0.3795], [0.0010652644360316954, -0.0010652644360316954, -0.01384843766841204], [-0.005615234375, 0.00537109375, 1.0103759765625]]
[[-0.435, 0.6495, 0.3795], [0.0021305288720633907, 0.0, -0.014913702104443736], [-0.002685546875, 0.0035400390625, 1.01123046875]]
[[-0.435, 0.6495, 0.3795], [0.007456851052221868, -0.005326322180158476, -0.0234358175926973], [0.002685546875, 0.007568359375, 1.01220703125]]
[[-0.435, 0.6495, 0.3795], [0.010652644360316953, -0.004261057744126781, -0.017044230976507126], [-0.001220703125, 0.00439453125, 1.014892578125]]
[[-0.435, 0.6495, 0.3795], [0.008522115488253563, -0.0021305288720633907, -0.010652644360316953], [0.002685546875, 0.0089111328125, 1.01171875]]
[[-0.435, 0.6495, 0.3795], [0.004261057744126781, 0.0021305288720633907, -0.014913702104443736], [0.0028076171875, 0.009033203125, 1.0086669921875]]
[[-0.435, 0.6495, 0.3795], [0.003195793308095086, -0.0021305288720633907, -0.019174759848570515], [0.002685546875, 0.0118408203125, 1.005615234375]]
[[-0.435, 0.6495, 0.3795], [0.005326322180158476, -0.004261057744126781, -0.018109495412538822], [0.009033203125, 0.0111083984375, 1.0091552734375]]
[[-0.435, 0.6495, 0.3795], [0.007456851052221868, -0.0010652644360316954, -0.021305288720633905], [0.00048828125, 0.0078125, 1.01171875]]
[[-0.435, 0.6495, 0.3795], [0.0010652644360316954, 0.005326322180158476, -0.019174759848570515], [0.00341796875, 0.007568359375, 1.0113525390625]]
[[-0.435, 0.6495, 0.3795], [0.2695119023160189, 0.0, -0.008522115488253563], [0.00341796875, 0.002197265625, 1.013671875]]
